,Country,Flag,Path,Folder,WebPath
0,United,United.png,assets/flags_new/png-1024/United.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/United.png
1,Egypt,Egypt.png,assets/flags_new/png-1024/Egypt.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Egypt.png
2,Marshall,Marshall.png,assets/flags_new/png-1024/Marshall.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Marshall.png
3,Oman,Oman.png,assets/flags_new/png-1024/Oman.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Oman.png
4,Northern,Northern.png,assets/flags_new/png-1024/Northern.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Northern.png
5,Andorra,Andorra.png,assets/flags_new/png-1024/Andorra.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Andorra.png
6,Djibouti,Djibouti.png,assets/flags_new/png-1024/Djibouti.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Djibouti.png
7,Tanzania,Tanzania.png,assets/flags_new/png-1024/Tanzania.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Tanzania.png
8,Serbia,Serbia.png,assets/flags_new/png-1024/Serbia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Serbia.png
9,Ecuador,Ecuador.png,assets/flags_new/png-1024/Ecuador.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Ecuador.png
10,Malawi,Malawi.png,assets/flags_new/png-1024/Malawi.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Malawi.png
11,Guyana,Guyana.png,assets/flags_new/png-1024/Guyana.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Guyana.png
12,Somalia,Somalia.png,assets/flags_new/png-1024/Somalia.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/Somalia.png
13,North,North.png,assets/flags_new/png-1024/North.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/North.png
14,United-15825,United-15825.png,assets/flags_new/png-1024/United-15825.png,png-1024,https://raw.githubusercontent.com/joaonart/country_flags/master/assets/flags_new/png-1024/United-15825.png
